,kon_ctrl,koff_ctrl,ksyn_ctrl,theta_ctrl
gene1,0.339589471737648,1.20155155357196,17.1807276248399,0.684841790435411
gene2,0.2433665419726,2.22741949750653,15.7143764234296,0.826147054681228
gene3,1.92622167161457,0.783739531730265,12.4699587832472,0.602535817814824
gene4,2.69676617938714,1.74103062665602,18.4804956363698,0.556997378134189
gene5,0.110097778422643,0.0984538189982318,17.6556021967118,0.465053602272265
gene6,2.86936840639927,1.94352983792059,26.7098414407795,0.461042731026209
gene7,2.37528584017072,1.08965636859875,24.9850283332941,0.438353113146961
gene8,0.562521316760242,2.76365610551428,20.6493197122894,0.759099114791994
gene9,0.573379528578835,1.79185565729009,19.9273310189483,0.704012471454991
gene10,3.01894171652433,2.06874157549497,18.5313179723406,0.574345640528373
gene11,1.14424499355051,2.7534634395641,12.9671687880558,0.80869329831489
gene12,2.39959975977276,2.41980191245487,20.5975585302711,0.56575784895191
gene13,1.96309610209533,0.862507353723368,13.0958274147378,0.620883487699401
gene14,1.51648163152386,0.875969217359278,22.0852306272341,0.501527454758287
gene15,2.0681193193592,0.46140408332047,28.4205188780462,0.376779624831373
gene16,0.728739237819185,1.83910580635762,25.7651607146482,0.646627465043102
gene17,2.7354696932694,2.44850411138386,21.2661296562617,0.546354613596004
gene18,1.39261162608256,0.434109851157085,29.0260207164261,0.389344140140717
gene19,0.354991814871936,0.0685605946246844,18.0099280552537,0.445094328100792
gene20,0.919524073769025,1.76702812242313,24.2608501839748,0.626797375803867
gene21,1.94548031671688,0.766138422602306,22.9507396951434,0.452870391174648
gene22,1.20385111681328,0.685094603239219,27.3796433253715,0.451494569963553
gene23,1.15352776234326,0.832144843640878,24.2888021676872,0.496738179032538
gene24,0.921465790000504,1.99872865282993,23.5416463311225,0.669017443335344
gene25,0.978139413670034,2.13997994945733,26.3369103638987,0.625338432013555
gene26,2.15132144677098,3.07503069136471,26.8033538415812,0.561289295782153
gene27,2.10532617376666,1.22263571690096,9.4808115714736,0.717435256412398
gene28,1.04046714277041,3.11377083370331,28.9842866230321,0.637823974757245
gene29,2.27035627665666,0.502763138881889,15.3211548512047,0.5265138159032
gene30,2.90803343906388,1.31143177186776,29.5938042951405,0.398977276624376
gene31,2.06819853330957,0.178394689307177,24.082537000012,0.386529578168491
gene32,0.940806736484488,1.88142889055123,12.9044936947157,0.756549900211042
gene33,0.565695018835908,0.350568185242741,11.3402173568998,0.680660808548014
gene34,1.04742477773625,1.84175061053379,21.4557878726018,0.630886096173371
gene35,1.96647607633809,2.18184273318703,13.8025348710687,0.695046506343199
gene36,1.46413765432631,2.18760271470607,13.2577218990682,0.741027244168086
gene37,0.773608629188799,0.898881629456911,19.5076929924258,0.596612228898852
gene38,2.84422831570239,1.29076846144414,16.2341329211879,0.549286998460941
gene39,2.66693538786231,2.21623083557032,24.7621968534097,0.503499145927203
gene40,1.63204557541335,0.10913159804476,28.1191869588138,0.345193247404526
gene41,0.83688265034307,1.87988857155136,13.3528473805821,0.784039650758067
gene42,2.12338287758782,0.602175702532532,16.1383214292346,0.524780549077251
gene43,0.987806274429832,3.87633026368279,33.0909764635246,0.660271122458353
gene44,2.26110067502748,2.55363480557524,14.5518695939402,0.686992469965877
gene45,1.19529619836082,2.09836320670682,16.1249365915342,0.725573151578452
gene46,1.00405456253572,0.528026023179891,11.9396137483422,0.646820351522151
gene47,0.539762324261805,1.20889582288964,15.2342661589733,0.691696429276275
gene48,2.6057992286736,0.497706074620891,26.872364972268,0.355366923887183
gene49,0.112385907455503,0.55895756559654,9.56002211383827,0.675823425761622
gene50,1.93510612140578,2.95947673827696,27.0922385341764,0.567769169188954
gene51,0.195187028294446,0.547957458304017,28.4817256159094,0.600186549243099
gene52,0.486051686385448,1.23298730768444,30.7455870168989,0.54782400516557
gene53,2.12579103545517,1.50499992149672,27.09408658,0.460983630864173
gene54,1.18417320302282,1.02830622558394,16.1203565834516,0.622472699750452
gene55,1.68004684530861,1.92184139331409,17.1032355962451,0.632353967990219
gene56,0.974071795829522,2.15093251324272,29.5669429112174,0.597230499598996
gene57,2.54145748198815,0.278265763417092,23.632590674181,0.394395522587311
gene58,2.32425837501749,0.635901314445218,13.0185098411718,0.58693234858335
gene59,0.916963160787707,1.50948774638719,19.8386271437391,0.636583601550108
gene60,1.42850217464051,0.523957451665413,12.6723138267428,0.605034147287368
gene61,2.72660981566329,1.80048741137576,25.5213384170575,0.480362749269308
gene62,0.896546510620547,2.65294382155437,27.3295994439099,0.669451730650782
gene63,4.38437329003101,0.171379368668589,10.034217546413,0.607413537042148
gene64,2.26453995729912,0.377503905663136,12.5708660019372,0.582274004577581
gene65,2.13561690729067,2.37908263992357,27.931134251496,0.492408733049811
gene66,2.73546643591972,1.15704934329478,13.9604580921245,0.593369298580055
gene67,0.361063938313678,0.400881200189154,25.0564369151193,0.479503026630855
gene68,1.60755104534387,1.49176212018204,8.98417353199235,0.783002248976453
gene69,0.163002852636232,1.62304245291827,19.394172381279,0.780146186122261
gene70,2.00821581047943,4.16784741866998,29.8386148587832,0.606147836536007
gene71,0.28169701438018,0.964944966385749,18.8929187490099,0.691045773457168
gene72,2.3574857199893,1.5335300977574,12.7838788123777,0.645142039024709
gene73,1.54108009641789,0.810565073695217,27.8443431247673,0.422375165252252
gene74,1.47407349433594,1.27994734082017,25.6706135571745,0.501904455873034
